team,body,threadId,msg_time,sprint,global_id,student,normalized,activity_conf,action_conf,inferred_activities,inferred_actions,training_activities,sbert_conf,thread_type,dev_weight,dominant_activity,num_messages
t11,Do we want to group up a few minutes before our demo (like 5-10)? I was thinking it might be a good idea just to make sure we're happy with everything before we start. Also a good time for last minute things to discuss.,1714687410100,2024-05-02 22:03:30+00:00,Sprint 3,g049,t11_s01,do we want to group up a few minutes before our demo like i was thinking it might be a good idea just to make sure we re happy with everything before we start also a good time for last minute things to discuss,{},{},set(),set(),set(),{},NON_DEV,0.0,,4
t11,That works,1714687410100,2024-05-02 22:19:03+00:00,Sprint 3,g050,t11_s02,that works,{},{},set(),set(),set(),{},NON_DEV,0.0,,4
t11,I am too. [REDACTED_NAME] [REDACTED_NAME] [REDACTED_NAME] do you guys have any preference?,1714687410100,2024-05-02 22:18:18+00:00,Sprint 3,g049,t11_s01,i am too <name> <name> <name> do you guys have any preference,{},{},set(),set(),set(),{},NON_DEV,0.0,,4
t11,Sure Im available whenever,1714687410100,2024-05-02 22:17:02+00:00,Sprint 3,g054,t11_s03,sure im available whenever,{},{},set(),set(),set(),{},NON_DEV,0.0,,4
t11,"hey guys, looking at the test cases wiki and under assing worker i saw this: Navigate to the Projects page. Select the Android Task Monitoring project and see that Terry Hampton is assigned to the project. Navigate to the Workers page and select the Unassign a Worker button. Select Android Task Monitoring for the project and [REDACTED_NAME] Guzman for the worker and click the Unassign button. Return to the Projects page and open the Android Task Monitoring details to ensure that [REDACTED_NAME] Guzman is no longer assigned to the project and that the project is now SUSPENDED. I assume we should change Terry to [REDACTED_NAME], yes?",1714681341435,2024-05-02 20:22:21+00:00,Sprint 3,g049,t11_s01,hey guys looking at the test_case wiki and under assing worker i saw this navigate to the projects page select the android task monitoring project and see that terry hampton is assigned to the project navigate to the workers page and select the unassign a worker button select android task monitoring for the project and <name> guzman for the worker and click the unassign button return to the projects page and open the android task monitoring details to ensure that <name> guzman is no longer assigned to the project and that the project is now suspended i assume we should change terry to <name> yes,{'TESTING': 1},{},{'TESTING'},set(),{'TESTING'},{},COORDINATION_ONLY,1.0,,3
t11,"perfect, changed it!",1714681341435,2024-05-02 20:29:12+00:00,Sprint 3,g049,t11_s01,perfect changed it,{},{},set(),set(),set(),{},COORDINATION_ONLY,1.0,,3
t11,Yeah you are correct. Terry should be changed to [REDACTED_NAME],1714681341435,2024-05-02 20:26:43+00:00,Sprint 3,g050,t11_s02,yeah you are correct terry should be changed to <name>,{},{},set(),set(),set(),{},COORDINATION_ONLY,1.0,,3
t11,"Hi everyone, Again - so sorry for missing the meeting yesterday I had to leave town under pressing circumstances. Could anyone update me on what the plan is for the demo? I know when it'll be and all that, I mean more on the plan for presenting side. Let me know!",1714668957230,2024-05-02 16:55:57+00:00,Sprint 3,g068,t11_s04,hi everyone again so sorry for missing the meeting yesterday i had to leave town under pressing circumstances could anyone update me on what the plan is for the demo i know when it ll be and all that i mean more on the plan for presenting side let me know,{},{},set(),set(),set(),{},DEV,3.0,PULL_REQUEST,10
t11,"hey guys, something small i jsut noticed and mdade a pr for is that our formatting for assign and unassign was slightly different -- i edited it to match if anyone wants to check out the new pr.",1714668957230,2024-05-02 20:17:04+00:00,Sprint 3,g049,t11_s01,hey guys something small i jsut noticed and mdade a pull_request for is that our formatting for assign and unassign was slightly different i edited it to match if anyone wants to check out the new pull_request,{'PULL_REQUEST': 2},{},{'PULL_REQUEST'},set(),{'PULL_REQUEST'},{'PULL_REQUEST': np.float64(0.9522415057145893)},DEV,3.0,PULL_REQUEST,10
t11,pr up! that was indeed the correct way to go. thank you all for your help!!!!,1714668957230,2024-05-02 19:39:59+00:00,Sprint 3,g049,t11_s01,pull_request up that was indeed the correct way to go thank you all for your help,{'PULL_REQUEST': 1},{},{'PULL_REQUEST'},set(),{'PULL_REQUEST'},{'PULL_REQUEST': np.float64(0.998920055202893)},DEV,3.0,PULL_REQUEST,10
t11,lol,1714668957230,2024-05-02 19:25:12+00:00,Sprint 3,g049,t11_s01,lol,{},{},set(),set(),set(),{},DEV,3.0,PULL_REQUEST,10
t11,-_- crying my eyes out and depressed,1714668957230,2024-05-02 19:25:06+00:00,Sprint 3,g049,t11_s01,_ crying my eyes out and depressed,{},{},set(),set(),set(),{},DEV,3.0,PULL_REQUEST,10
t11,After some more exploring it turns out project contains an array called missingQualifications that holds all of the missing qualifications . That we can just directly reference without messing with workers at all,1714668957230,2024-05-02 19:24:40+00:00,Sprint 3,g054,t11_s03,after some more exploring it turns out project contains an array called missingqualifications that holds all of the missing qualifications that we can just directly reference without messing with workers at all,{},{},set(),set(),set(),{},DEV,3.0,PULL_REQUEST,10
t11,I was working on it more late last night and came up with the idea of importing and setting the workers in the main code and passing the workers list to the function instead of getting them inside it. I kept running into project being undefined when I was passing them both but I'll publish my branch in a bit. Not sure if that's a better solution or not,1714668957230,2024-05-02 18:36:48+00:00,Sprint 3,g054,t11_s03,i was working on it more late last night and came up with the idea of importing and setting the workers in the main code and passing the workers list to the function instead of getting them inside it i kept running into project being undefined when i was passing them both but i ll publish my branch in a bit not sure if that s a better solution or not,{},{},set(),set(),set(),{},DEV,3.0,PULL_REQUEST,10
t11,I am on the bus right now but when I get home I'm going to keep working on that PR. If anyone's figured anything else out lmk!,1714668957230,2024-05-02 18:29:14+00:00,Sprint 3,g049,t11_s01,i am on the bus right now but when i get home i m going to keep working on that pull_request if anyone s figured anything else out lmk,{'PULL_REQUEST': 1},{},{'PULL_REQUEST'},set(),{'PULL_REQUEST'},{'PULL_REQUEST': np.float64(0.984145604217725)},DEV,3.0,PULL_REQUEST,10
t11,I was just catching up on videos and he said we just all need to be there to answer questions but only one person needs to present and the TA will guide [REDACTED_NAME] through exactly what they want us to show. It sounds like its just the 13 use cases just so everyone knows what to expect,1714668957230,2024-05-02 18:28:19+00:00,Sprint 3,g054,t11_s03,i was just catching up on videos and he said we just all need to be there to answer questions but only one person needs to present and the ta will guide <name> through exactly what they want us to show it sounds like its just the use_case just so everyone knows what to expect,{},{},set(),set(),set(),{},DEV,3.0,PULL_REQUEST,10
t11,We were all planning on doing it on teams and [REDACTED_NAME] was going to present it,1714668957230,2024-05-02 17:53:17+00:00,Sprint 3,g050,t11_s02,we were all planning on doing it on teams and <name> was going to present it,{},{},set(),set(),set(),{},DEV,3.0,PULL_REQUEST,10
t11,PR: Front End: Project Missing Qualifications #309 The required qualifications information for each project needs to be updated so that they are green if covered and red if missing. This can be represented as a red x or green check next to them or alternative representations to get the idea across.,1714607191073,2024-05-01 23:46:31+00:00,Sprint 3,g049,t11_s01,pull_request front end project missing qualifications the required qualifications information for each project needs to be updated so that they are green if covered and red if missing this can be represented as a red x or green check next to them or alternative representations to get the idea across,{'PULL_REQUEST': 1},{'UPDATED': 1},{'PULL_REQUEST'},{'UPDATED'},{'PULL_REQUEST'},{'PULL_REQUEST': np.float64(0.9691684017746223)},DEV,4.0,ISSUE,12
t11,"yes, i agree that is the issue. the problem is (i believe) to solvve it you need to have an ""await"", which you can only use with async. but when i implement that, i get an error saying ""Uncaught Error: Rendered more hooks than during the previous render.""",1714607191073,2024-05-02 03:49:08+00:00,Sprint 3,g049,t11_s01,yes i agree that is the issue the problem is i believe to solvve it you need to have an await which you can only use with async but when i implement that i get an error saying uncaught error rendered more hooks than during the previous render,{'ISSUE': 1},{},{'ISSUE'},set(),{'ISSUE'},{},DEV,4.0,ISSUE,12
t11,Im fairly certain both problems are coming from the code after the getWorker(project.workers[j]).then(worker =&gt; {​​​​​​ block resolving before that block is finished. Weird promise interactions I forget how exactly it works. Its been a long time since I learned about that stuff,1714607191073,2024-05-02 03:47:18+00:00,Sprint 3,g054,t11_s03,im fairly certain both problems are coming from the code after the getworker project workers j then worker gt block resolving before that block is finished weird promise interactions i forget how exactly it works its been a long time since i learned about that stuff,{},{},set(),set(),set(),{},DEV,4.0,ISSUE,12
t11,"that's what i've found as well. i'm testing the code more as we speak. currently. i put everything in the forEach. project.qualifications.forEach(qualification =&gt; { qualificationColors[qualification] = 'red'; for (let i = 0; i &lt; project.qualifications.length; i++) { const projectQualification = project.qualifications[i]; for (let j = 0; j &lt; project.workers.length; j++) { let found = false; const worker = getWorker(project.workers[j]).then(worker =&gt; { if (worker.qualifications.includes(projectQualification)){ qualificationColors[projectQualification] = 'green'; //console.log(qualificationColors); found = true; //console.log(project); } }); //end const worker if (found === true) { break; } } //end let i if(qualificationColors[projectQualification] === 'green'){ console.log(""qualification ""+ projectQualification + "" should be green!"") } //const worker = getWorker(project.workers[j]); //console.log(worker.qualifications); //console.log(""worker =="" + worker); //console.log(""getWorkers"" + getWorker(project.workers[j])); /*if (worker.includes(""Nina"")) { qualificationColors[projectQualification] = 'green'; break; }*/ } }); code works the same, resets to red no matter what",1714607191073,2024-05-02 03:41:18+00:00,Sprint 3,g049,t11_s01,that s what i ve found as well i m testing the code more as we speak currently i put everything in the foreach project qualifications foreach qualification gt qualificationcolors qualification red for let i i lt project qualifications length i const projectqualification project qualifications i for let j j lt project workers length j let found false const worker getworker project workers j then worker gt if worker qualifications includes projectqualification qualificationcolors projectqualification green console log qualificationcolors found true console log project end const worker if found true break end let i if qualificationcolors projectqualification green console log qualification projectqualification should be green const worker getworker project workers j console log worker qualifications console log worker worker console log getworkers getworker project workers j if worker includes nina qualificationcolors projectqualification green break code works the same resets to red no matter what,{},{},set(),set(),set(),{},DEV,4.0,ISSUE,12
t11,"Im not sure whats going on there. It may be the problem though, it seems like the qualificationColors is properly where its getting logged now but it reverts back to all red when it leaves that loop",1714607191073,2024-05-02 03:37:38+00:00,Sprint 3,g054,t11_s03,im not sure whats going on there it may be the problem though it seems like the qualificationcolors is properly where its getting logged now but it reverts back to all red when it leaves that loop,{},{},set(),set(),set(),{},DEV,4.0,ISSUE,12
t11,so i think im finding at least part of the issue.. the if found === true statement is ALWAYS false currently... not sure why,1714607191073,2024-05-02 03:07:12+00:00,Sprint 3,g049,t11_s01,so i think im finding at least part of the issue the if found true statement is always false currently not sure why,{'ISSUE': 1},{},{'ISSUE'},set(),{'ISSUE'},{},DEV,4.0,ISSUE,12
t11,trying to test it on my end... dev env just broke for some reason,1714607191073,2024-05-02 02:11:26+00:00,Sprint 3,g049,t11_s01,trying to test it on my end dev env just broke for some reason,{'TESTING': 1},{},{'TESTING'},set(),{'TESTING'},{},DEV,4.0,ISSUE,12
t11,"const ProjectBody = (project) =&gt; {​​​​​ const qualificationColors = {​​​​​}​​​​​; project.qualifications.forEach(qualification =&gt; {​​​​​ qualificationColors[qualification] = 'red'; }​​​​​); for (let i = 0; i &lt; project.qualifications.length; i++) {​​​​​ const projectQualification = project.qualifications[i]; //console.log(projectQualification); for (let j = 0; j &lt; project.workers.length; j++) {​​​​​ let found = false; const worker = getWorker(project.workers[j]).then(worker =&gt; {​​​​​ if (worker.qualifications.includes(projectQualification)){​​​​​ qualificationColors[projectQualification] = 'green'; console.log(qualificationColors); found = true; //console.log(project); }​​​​​ }​​​​​); if (found == true) {​​​​​ break; }​​​​​ }​​​​​ //const worker = getWorker(project.workers[j]); //console.log(worker.qualifications); //console.log(""worker =="" + worker); //console.log(""getWorkers"" + getWorker(project.workers[j])); /*if (worker.includes(""Nina"")) {​​​​​ qualificationColors[projectQualification] = 'green'; break; }​​​​​*/ }​​​​​ This seems to work and changes the values in qualificationColors but the text doesnt change to reflect the new color",1714607191073,2024-05-02 01:56:22+00:00,Sprint 3,g054,t11_s03,const projectbody project gt const qualificationcolors project qualifications foreach qualification gt qualificationcolors qualification red for let i i lt project qualifications length i const projectqualification project qualifications i console log projectqualification for let j j lt project workers length j let found false const worker getworker project workers j then worker gt if worker qualifications includes projectqualification qualificationcolors projectqualification green console log qualificationcolors found true console log project if found true break const worker getworker project workers j console log worker qualifications console log worker worker console log getworkers getworker project workers j if worker includes nina qualificationcolors projectqualification green break this seems to work and changes the values in qualificationcolors but the text doesnt change to reflect the new color,{},{},set(),set(),set(),{},DEV,4.0,ISSUE,12
t11,lol i'll keep troubleshooting the same on my end too but lmk if you figure out anything,1714607191073,2024-05-02 01:20:39+00:00,Sprint 3,g049,t11_s01,lol i ll keep troubleshooting the same on my end too but lmk if you figure out anything,{},{},set(),set(),set(),{},DEV,4.0,ISSUE,12
t11,Ya I realized that its returning a promise. Need to figure out how to get the object from that,1714607191073,2024-05-02 01:18:22+00:00,Sprint 3,g054,t11_s03,ya i realized that its returning a promise need to figure out how to get the object from that,{},{},set(),set(),set(),{},DEV,4.0,ISSUE,12
t11,"when i check the output of that opject, it says ""pending"" for me. do you get the same problem",1714607191073,2024-05-02 01:12:45+00:00,Sprint 3,g049,t11_s01,when i check the output of that opject it says pending for me do you get the same problem,{},{},set(),set(),set(),{},DEV,4.0,ISSUE,12
t11,You can get the full worker object by doing const worker = getWorker(project.workers[j]);. Im still running into problems with it saying worker.qualifications is undefined but if you log the worker now it shows the full objects with a qualifications array. Not sure why it wont allow me to select the worker.qualifications array but thats a start,1714607191073,2024-05-02 00:48:09+00:00,Sprint 3,g054,t11_s03,you can get the full worker object by doing const worker getworker project workers j im still running into problems with it saying worker qualifications is undefined but if you log the worker now it shows the full objects with a qualifications array not sure why it wont allow me to select the worker qualifications array but thats a start,{},{},set(),set(),set(),{},DEV,4.0,ISSUE,12
t11,Hi is there anything wrong with my assign method pr. If not could someone merge my PR? It worked properly on my end.,1714618893888,2024-05-02 03:01:33+00:00,Sprint 3,g069,t11_s05,hi is there anything wrong with my assign method pull_request if not could someone merge my pull_request it worked properly on my end,"{'PULL_REQUEST': 2, 'MERGE': 1}",{},"{'PULL_REQUEST', 'MERGE'}",set(),"{'PULL_REQUEST', 'MERGE'}",{'PULL_REQUEST': np.float64(0.9947593380172145)},COORDINATION_ONLY,2.0,,2
t11,it works properly for me as well,1714618893888,2024-05-02 03:08:09+00:00,Sprint 3,g049,t11_s01,it works properly for me as well,{},{},set(),set(),set(),{},COORDINATION_ONLY,2.0,,2
t11,"Our demo is scheduled for tomorrow, Thursday May 2nd at 4:30 pm. The plan is hold it remotely in this channel",1714608392504,2024-05-02 00:06:32+00:00,Sprint 3,g054,t11_s03,our demo is scheduled for tomorrow thursday may nd at pm the plan is hold it remotely in this channel,{},{},set(),set(),set(),{},NON_DEV,0.0,,1
